Year,Month,Day,Time,zones_ct5
2020,12,1,1715,56
2020,12,1,1718,57
2020,12,1,1721,64
2020,12,1,1724,70
2020,12,1,1727,75
2020,12,1,1730,70
2020,12,1,1733,74
2020,12,1,1736,76
2020,12,1,1739,79
2020,12,1,1742,89
2020,12,1,1745,99
2020,12,1,1748,116
2020,12,1,1751,103
2020,12,1,1754,104
2020,12,1,1757,108
2020,12,1,1800,109
2020,12,1,1803,103
2020,12,1,1806,104
2020,12,1,1809,111
2020,12,1,1812,109
2020,12,1,1815,103
2020,12,1,1818,96
2020,12,1,1821,86
2020,12,1,1824,97
2020,12,1,1827,90
2020,12,1,1830,88
2020,12,1,1833,86
2020,12,1,1836,88
2020,12,1,1839,88
2020,12,1,1842,98
2020,12,1,1845,84
2020,12,1,1848,79
2020,12,1,1851,82
2020,12,1,1854,85
2020,12,1,1857,86
2020,12,1,1900,86
2020,12,1,1903,79
2020,12,1,1906,86
2020,12,1,1909,90
2020,12,1,1912,85
2020,12,1,1915,77
2020,12,1,1918,77
2020,12,1,1921,72
2020,12,1,1924,72
2020,12,1,1927,65
2020,12,1,1930,56
2020,12,1,1933,58
2020,12,1,1936,66
2020,12,1,1939,62
2020,12,1,1942,58
2020,12,1,1945,55
2020,12,1,1948,56
2020,12,1,1951,63
2020,12,1,1954,52
2020,12,1,1957,47
2020,12,1,2000,41
2020,12,1,2003,41
2020,12,1,2006,40
2020,12,1,2009,40
2020,12,1,2012,47
2020,12,1,2015,44
2020,12,1,2018,44
2020,12,1,2021,41
2020,12,1,2024,40
2020,12,1,2027,43
2020,12,1,2030,41
2020,12,1,2033,42
2020,12,1,2036,48
2020,12,1,2039,42
2020,12,1,2042,43
2020,12,1,2045,43
2020,12,1,2048,47
2020,12,1,2051,45
2020,12,1,2054,46
2020,12,1,2057,48
2020,12,1,2100,62
2020,12,1,2103,69
2020,12,1,2106,65
2020,12,1,2109,60
2020,12,1,2112,53
2020,12,1,2115,52
2020,12,1,2118,63
2020,12,1,2121,67
2020,12,1,2124,62
2020,12,1,2127,61
2020,12,1,2130,57
2020,12,1,2133,58
2020,12,1,2136,54
2020,12,1,2139,41
2020,12,1,2142,39
2020,12,1,2145,38
2020,12,1,2148,36
2020,12,1,2151,39
2020,12,1,2154,39
2020,12,1,2157,49
2020,12,1,2200,50
2020,12,1,2203,45
2020,12,1,2206,47
2020,12,1,2209,49
2020,12,1,2212,60
2020,12,1,2215,60
2020,12,1,2218,58
2020,12,1,2221,57
2020,12,1,2224,54
2020,12,1,2227,50
2020,12,1,2230,50
2020,12,1,2233,50
2020,12,1,2236,55
2020,12,1,2239,53
2020,12,1,2242,49
2020,12,1,2245,49
2020,12,1,2248,46
2020,12,1,2251,51
2020,12,1,2254,54
2020,12,1,2257,54
2020,12,1,2300,51
2020,12,1,2303,52
2020,12,1,2306,48
2020,12,1,2309,44
2020,12,1,2312,47
2020,12,1,2315,43
2020,12,1,2318,41
2020,12,1,2321,41
2020,12,1,2324,39
2020,12,1,2327,38
2020,12,1,2330,28
2020,12,1,2333,29
2020,12,1,2336,28
2020,12,1,2339,19
2020,12,1,2342,19
2020,12,1,2345,21
2020,12,1,2348,20
2020,12,1,2351,16
2020,12,1,2354,17
2020,12,1,2357,16
2020,12,2,0,14
2020,12,2,3,13
2020,12,2,6,14
2020,12,2,9,13
2020,12,2,12,13
2020,12,2,15,13
2020,12,2,18,15
2020,12,2,21,14
2020,12,2,24,12
2020,12,2,27,10
2020,12,2,30,8
2020,12,2,33,6
2020,12,2,36,7
2020,12,2,39,8
2020,12,2,42,8
2020,12,2,45,7
2020,12,2,48,7
2020,12,2,51,7
2020,12,2,54,7
2020,12,2,57,7
2020,12,2,100,7
2020,12,2,103,7
2020,12,2,106,8
2020,12,2,109,12
2020,12,2,112,7
2020,12,2,115,6
2020,12,2,118,5
2020,12,2,121,6
2020,12,2,124,5
2020,12,2,127,5
2020,12,2,130,5
2020,12,2,133,5
2020,12,2,136,7
2020,12,2,139,8
2020,12,2,142,5
2020,12,2,145,4
2020,12,2,148,4
2020,12,2,151,4
2020,12,2,154,4
2020,12,2,157,4
2020,12,2,200,4
2020,12,2,203,4
2020,12,2,206,4
2020,12,2,209,4
2020,12,2,212,4
2020,12,2,215,4
2020,12,2,218,5
2020,12,2,221,4
2020,12,2,224,5
2020,12,2,227,5
2020,12,2,230,5
2020,12,2,233,5
2020,12,2,236,5
2020,12,2,239,6
2020,12,2,242,6
2020,12,2,245,6
2020,12,2,248,6
2020,12,2,251,6
2020,12,2,254,4
2020,12,2,257,4
2020,12,2,300,5
2020,12,2,303,7
2020,12,2,306,5
2020,12,2,309,5
2020,12,2,312,4
2020,12,2,315,6
2020,12,2,318,3
2020,12,2,321,7
2020,12,2,324,4
2020,12,2,327,3
2020,12,2,330,2
2020,12,2,333,2
2020,12,2,336,2
2020,12,2,339,2
2020,12,2,342,2
2020,12,2,345,3
2020,12,2,348,2
2020,12,2,351,2
2020,12,2,354,3
2020,12,2,357,2
2020,12,2,400,2
2020,12,2,403,3
2020,12,2,406,2
2020,12,2,409,2
2020,12,2,412,2
2020,12,2,415,1
2020,12,2,418,1
2020,12,2,421,1
2020,12,2,424,1
2020,12,2,427,1
2020,12,2,430,1
2020,12,2,433,1
2020,12,2,436,1
2020,12,2,439,1
2020,12,2,442,5
2020,12,2,445,4
2020,12,2,448,4
2020,12,2,451,4
2020,12,2,454,4
2020,12,2,457,4
2020,12,2,500,4
2020,12,2,503,4
2020,12,2,506,4
2020,12,2,509,7
2020,12,2,512,7
2020,12,2,515,7
2020,12,2,518,7
2020,12,2,521,8
2020,12,2,524,8
2020,12,2,527,6
2020,12,2,530,7
2020,12,2,533,8
2020,12,2,536,8
2020,12,2,539,8
2020,12,2,542,8
2020,12,2,545,9
2020,12,2,548,8
2020,12,2,551,7
2020,12,2,554,6
2020,12,2,557,6
2020,12,2,600,6
2020,12,2,603,6
2020,12,2,606,6
2020,12,2,609,6
2020,12,2,612,6
2020,12,2,615,6
2020,12,2,618,6
2020,12,2,621,7
2020,12,2,624,6
2020,12,2,627,4
2020,12,2,630,3
2020,12,2,633,3
2020,12,2,636,4
2020,12,2,639,3
2020,12,2,642,5
2020,12,2,645,4
2020,12,2,648,2
2020,12,2,651,3
2020,12,2,654,4
2020,12,2,657,4
2020,12,2,700,3
2020,12,2,703,4
2020,12,2,706,7
2020,12,2,709,18
2020,12,2,712,25
2020,12,2,715,28
2020,12,2,718,28
2020,12,2,721,29
2020,12,2,724,36
2020,12,2,727,28
2020,12,2,730,29
2020,12,2,733,24
2020,12,2,736,25
2020,12,2,739,25
2020,12,2,742,18
2020,12,2,745,15
2020,12,2,748,19
2020,12,2,751,19
2020,12,2,754,17
2020,12,2,757,21
2020,12,2,800,16
2020,12,2,803,19
2020,12,2,806,20
2020,12,2,809,10
2020,12,2,812,15
2020,12,2,815,13
2020,12,2,818,11
2020,12,2,821,10
2020,12,2,824,13
2020,12,2,827,18
2020,12,2,830,19
2020,12,2,833,18
2020,12,2,836,22
2020,12,2,839,24
2020,12,2,842,26
2020,12,2,845,30
2020,12,2,848,25
2020,12,2,851,26
2020,12,2,854,26
2020,12,2,857,28
2020,12,2,900,26
2020,12,2,903,28
2020,12,2,906,30
2020,12,2,909,26
2020,12,2,912,25
2020,12,2,915,24
2020,12,2,918,27
2020,12,2,921,32
2020,12,2,924,32
2020,12,2,927,33
2020,12,2,930,27
2020,12,2,933,24
2020,12,2,936,31
2020,12,2,939,27
2020,12,2,942,29
2020,12,2,945,33
2020,12,2,948,30
2020,12,2,951,28
2020,12,2,954,30
2020,12,2,957,28
2020,12,2,1000,37
2020,12,2,1003,28
2020,12,2,1006,25
2020,12,2,1009,28
2020,12,2,1012,33
2020,12,2,1015,25
2020,12,2,1018,26
2020,12,2,1021,32
2020,12,2,1024,35
2020,12,2,1027,31
2020,12,2,1030,36
2020,12,2,1033,38
2020,12,2,1036,38
2020,12,2,1039,35
2020,12,2,1042,33
2020,12,2,1045,30
2020,12,2,1048,28
2020,12,2,1051,33
2020,12,2,1054,33
2020,12,2,1057,29
2020,12,2,1100,36
2020,12,2,1103,33
2020,12,2,1106,31
2020,12,2,1109,44
2020,12,2,1112,44
2020,12,2,1115,48
2020,12,2,1118,46
2020,12,2,1121,54
2020,12,2,1124,47
2020,12,2,1127,42
2020,12,2,1130,42
2020,12,2,1133,44
2020,12,2,1136,56
2020,12,2,1139,60
2020,12,2,1142,66
2020,12,2,1145,74
2020,12,2,1148,78
2020,12,2,1151,72
2020,12,2,1154,70
2020,12,2,1157,72
2020,12,2,1200,68
2020,12,2,1203,70
2020,12,2,1206,68
2020,12,2,1209,77
2020,12,2,1212,70
2020,12,2,1215,70
2020,12,2,1218,64
2020,12,2,1221,70
2020,12,2,1224,78
2020,12,2,1227,76
2020,12,2,1230,77
2020,12,2,1233,82
2020,12,2,1236,91
2020,12,2,1239,95
2020,12,2,1242,96
2020,12,2,1245,115
2020,12,2,1248,100
2020,12,2,1251,88
2020,12,2,1254,82
2020,12,2,1257,76
2020,12,2,1300,78
2020,12,2,1303,68
2020,12,2,1306,77
2020,12,2,1309,84
2020,12,2,1312,70
2020,12,2,1315,65
2020,12,2,1318,62
2020,12,2,1321,63
2020,12,2,1324,67
2020,12,2,1327,75
2020,12,2,1330,87
2020,12,2,1333,76
2020,12,2,1336,72
2020,12,2,1339,65
2020,12,2,1342,61
2020,12,2,1345,64
2020,12,2,1348,70
2020,12,2,1351,70
2020,12,2,1354,68
2020,12,2,1357,60
2020,12,2,1400,51
2020,12,2,1403,44
2020,12,2,1406,43
2020,12,2,1409,46
2020,12,2,1412,48
2020,12,2,1415,43
2020,12,2,1418,39
2020,12,2,1421,42
2020,12,2,1424,39
2020,12,2,1427,38
2020,12,2,1430,43
2020,12,2,1433,42
2020,12,2,1436,45
2020,12,2,1439,40
2020,12,2,1442,36
2020,12,2,1445,36
2020,12,2,1448,35
2020,12,2,1451,37
2020,12,2,1454,40
2020,12,2,1457,42
2020,12,2,1500,40
2020,12,2,1503,41
2020,12,2,1506,47
2020,12,2,1509,46
2020,12,2,1512,41
2020,12,2,1515,39
2020,12,2,1518,33
2020,12,2,1521,38
2020,12,2,1524,36
2020,12,2,1527,43
2020,12,2,1530,37
2020,12,2,1533,41
2020,12,2,1536,35
2020,12,2,1539,35
2020,12,2,1542,34
2020,12,2,1545,33
2020,12,2,1548,32
2020,12,2,1551,30
2020,12,2,1554,32
2020,12,2,1557,30
2020,12,2,1600,31
2020,12,2,1603,31
2020,12,2,1606,34
2020,12,2,1609,32
2020,12,2,1612,32
2020,12,2,1615,30
2020,12,2,1618,30
2020,12,2,1621,37
2020,12,2,1624,38
2020,12,2,1627,27
2020,12,2,1630,27
2020,12,2,1633,36
2020,12,2,1636,37
2020,12,2,1639,36
2020,12,2,1642,39
2020,12,2,1645,39
2020,12,2,1648,49
2020,12,2,1651,50
2020,12,2,1654,52
2020,12,2,1657,51
2020,12,2,1700,68
2020,12,2,1703,85
2020,12,2,1706,80
2020,12,2,1709,91
2020,12,2,1712,93
2020,12,2,1715,96
2020,12,2,1718,101
2020,12,2,1721,77
2020,12,2,1724,78
2020,12,2,1727,71
2020,12,2,1730,79
2020,12,2,1733,84
2020,12,2,1736,97
2020,12,2,1739,100
2020,12,2,1742,112
2020,12,2,1745,115
2020,12,2,1748,126
2020,12,2,1751,124
2020,12,2,1754,124
2020,12,2,1757,124
2020,12,2,1800,110
2020,12,2,1803,112
2020,12,2,1806,114
2020,12,2,1809,124
2020,12,2,1812,115
2020,12,2,1815,123
2020,12,2,1818,129
2020,12,2,1821,118
2020,12,2,1824,108
2020,12,2,1827,105
2020,12,2,1830,101
2020,12,2,1833,83
2020,12,2,1836,94
2020,12,2,1839,90
2020,12,2,1842,89
2020,12,2,1845,102
2020,12,2,1848,108
2020,12,2,1851,96
2020,12,2,1854,97
2020,12,2,1857,93
2020,12,2,1900,73
2020,12,2,1903,61
2020,12,2,1906,68
2020,12,2,1909,71
2020,12,2,1912,73
2020,12,2,1915,89
2020,12,2,1918,96
2020,12,2,1921,99
2020,12,2,1924,89
2020,12,2,1927,85
2020,12,2,1930,87
2020,12,2,1933,83
2020,12,2,1936,80
2020,12,2,1939,74
2020,12,2,1942,81
2020,12,2,1945,76
2020,12,2,1948,67
2020,12,2,1951,61
2020,12,2,1954,57
2020,12,2,1957,60
2020,12,2,2000,56
2020,12,2,2003,54
2020,12,2,2006,48
2020,12,2,2009,51
2020,12,2,2012,53
2020,12,2,2015,53
2020,12,2,2018,51
2020,12,2,2021,52
2020,12,2,2024,44
2020,12,2,2027,49
2020,12,2,2030,46
2020,12,2,2033,52
2020,12,2,2036,48
2020,12,2,2039,49
2020,12,2,2042,41
2020,12,2,2045,43
2020,12,2,2048,44
2020,12,2,2051,43
2020,12,2,2054,40
2020,12,2,2057,40
2020,12,2,2100,40
2020,12,2,2103,42
2020,12,2,2106,40
2020,12,2,2109,37
2020,12,2,2112,41
2020,12,2,2115,40
2020,12,2,2118,44
2020,12,2,2121,38
2020,12,2,2124,45
2020,12,2,2127,45
2020,12,2,2130,52
2020,12,2,2133,44
2020,12,2,2136,47
2020,12,2,2139,44
2020,12,2,2142,44
2020,12,2,2145,46
2020,12,2,2148,51
2020,12,2,2151,47
2020,12,2,2154,48
2020,12,2,2157,44
2020,12,2,2200,45
2020,12,2,2203,41
2020,12,2,2206,28
2020,12,2,2209,32
2020,12,2,2212,30
2020,12,2,2215,32
2020,12,2,2218,29
2020,12,2,2221,36
2020,12,2,2224,43
2020,12,2,2227,46
2020,12,2,2230,46
2020,12,2,2233,33
2020,12,2,2236,33
2020,12,2,2239,36
2020,12,2,2242,43
2020,12,2,2245,40
2020,12,2,2248,42
2020,12,2,2251,32
2020,12,2,2254,31
2020,12,2,2257,34
2020,12,2,2300,29
2020,12,2,2303,30
2020,12,2,2306,33
2020,12,2,2309,29
2020,12,2,2312,30
2020,12,2,2315,32
2020,12,2,2318,24
2020,12,2,2321,18
2020,12,2,2324,20
2020,12,2,2327,22
2020,12,2,2330,25
2020,12,2,2333,29
2020,12,2,2336,30
2020,12,2,2339,33
2020,12,2,2342,29
2020,12,2,2345,30
2020,12,2,2348,38
2020,12,2,2351,27
2020,12,2,2354,23
2020,12,2,2357,25
2020,12,3,0,19
2020,12,3,3,20
2020,12,3,6,16
2020,12,3,9,18
2020,12,3,12,16
2020,12,3,15,16
2020,12,3,18,15
2020,12,3,21,15
2020,12,3,24,5
2020,12,3,27,5
2020,12,3,30,5
2020,12,3,33,3
2020,12,3,36,2
2020,12,3,39,3
2020,12,3,42,3
2020,12,3,45,2
2020,12,3,48,2
2020,12,3,51,1
2020,12,3,54,2
2020,12,3,57,2
2020,12,3,100,1
2020,12,3,103,3
2020,12,3,106,2
2020,12,3,109,2
2020,12,3,112,2
2020,12,3,115,2
2020,12,3,118,2
2020,12,3,121,1
2020,12,3,124,1
2020,12,3,127,1
2020,12,3,130,1
2020,12,3,133,1
2020,12,3,136,1
2020,12,3,139,1
2020,12,3,142,1
2020,12,3,145,1
2020,12,3,148,2
2020,12,3,151,2
2020,12,3,154,6
2020,12,3,157,5
2020,12,3,200,4
2020,12,3,203,5
2020,12,3,206,3
2020,12,3,209,3
2020,12,3,212,4
2020,12,3,215,3
2020,12,3,218,4
2020,12,3,221,4
2020,12,3,224,3
2020,12,3,227,3
2020,12,3,230,5
2020,12,3,233,6
2020,12,3,236,5
2020,12,3,239,6
2020,12,3,242,6
2020,12,3,245,4
2020,12,3,248,4
2020,12,3,251,4
2020,12,3,254,3
2020,12,3,257,3
2020,12,3,300,3
2020,12,3,303,4
2020,12,3,306,2
2020,12,3,309,3
2020,12,3,312,3
2020,12,3,315,6
2020,12,3,318,4
2020,12,3,321,4
2020,12,3,324,4
2020,12,3,327,4
2020,12,3,330,2
2020,12,3,333,2
2020,12,3,336,2
2020,12,3,339,2
2020,12,3,342,2
2020,12,3,345,2
2020,12,3,348,3
2020,12,3,351,3
2020,12,3,354,5
2020,12,3,357,5
2020,12,3,400,5
2020,12,3,403,2
2020,12,3,406,2
2020,12,3,409,2
2020,12,3,412,2
2020,12,3,415,2
2020,12,3,418,2
2020,12,3,421,3
2020,12,3,424,2
2020,12,3,427,4
2020,12,3,430,2
2020,12,3,433,2
2020,12,3,436,2
2020,12,3,439,2
2020,12,3,442,1
2020,12,3,445,1
2020,12,3,448,1
2020,12,3,451,1
2020,12,3,454,1
2020,12,3,457,1
2020,12,3,500,1
2020,12,3,503,2
2020,12,3,506,1
2020,12,3,509,2
2020,12,3,512,2
2020,12,3,515,2
2020,12,3,518,2
2020,12,3,521,2
2020,12,3,524,2
2020,12,3,527,2
2020,12,3,530,1
2020,12,3,533,1
2020,12,3,536,1
2020,12,3,539,1
2020,12,3,542,1
2020,12,3,545,1
2020,12,3,548,1
2020,12,3,551,1
2020,12,3,554,1
2020,12,3,557,1
2020,12,3,600,1
2020,12,3,603,1
2020,12,3,606,1
2020,12,3,609,1
2020,12,3,612,1
2020,12,3,615,1
2020,12,3,618,1
2020,12,3,621,2
2020,12,3,624,2
2020,12,3,627,2
2020,12,3,630,2
2020,12,3,633,2
2020,12,3,636,3
2020,12,3,639,3
2020,12,3,642,2
2020,12,3,645,2
2020,12,3,648,2
2020,12,3,651,3
2020,12,3,654,6
2020,12,3,657,5
2020,12,3,700,4
2020,12,3,703,4
2020,12,3,706,5
2020,12,3,709,6
2020,12,3,712,10
2020,12,3,715,8
2020,12,3,718,10
2020,12,3,721,11
2020,12,3,724,9
2020,12,3,727,11
2020,12,3,730,11
2020,12,3,733,12
2020,12,3,736,15
2020,12,3,739,13
2020,12,3,742,16
2020,12,3,745,17
2020,12,3,748,13
2020,12,3,751,12
2020,12,3,754,11
2020,12,3,757,10
2020,12,3,800,11
2020,12,3,803,13
2020,12,3,806,17
2020,12,3,809,20
2020,12,3,812,28
2020,12,3,815,25
2020,12,3,818,28
2020,12,3,821,22
